title,year,rating,actors,director,vulgarities,sentiment,subjectivity,asshole,bastard,bitch,cunt,dick,faggot,fuck,nigger,shit,slut
From Here to Eternity,1953-01-01,91,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Frank Sinatra",Fred Zinnemann,0,0.085576025561739,0.5047661782661781,0,0,0,0,0,0,0,0,0,0
On the Waterfront,1954-01-01,98,"Marlon Brando, Eva Marie Saint, Karl Malden, Lee J. Cobb",Elia Kazan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Marty,1955-01-01,100,"Ernest Borgnine, Betsy Blair, Joe Mantell, Esther Minciotti",Delbert Mann,0,0.066514371950288,0.505787618574503,0,0,0,0,0,0,0,0,0,0
Around the World in 80 Days,1956-01-01,72,"David Niven, Cantinflas, Shirley MacLaine, Robert Newton",Michael Anderson,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
The Bridge on the River Kwai,1957-01-01,95,"William Holden, Alec Guinness, Sessue Hayakawa, Jack Hawkins",David Lean,0,0.10900066729782901,0.5190095755663361,0,0,0,0,0,0,0,0,0,0
Gigi,1958-01-01,80,"Leslie Caron, Louis Jourdan, Maurice Chevalier, Hermione Gingold",Vincente Minnelli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Ben-Hur,1959-01-01,86,"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet",William Wyler,0,0.08312623548516901,0.48293066129273005,0,0,0,0,0,0,0,0,0,0
The Apartment,1960-01-01,93,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston",Billy Wilder,0,0.092832892207121,0.545478016640161,0,0,0,0,0,0,0,0,0,0
West Side Story,1961-01-01,92,"Natalie Wood, Richard Beymer, Rita Moreno, George Chakiris",Robert Wise,0,0.120314223504522,0.575523623971384,0,0,0,0,0,0,0,0,0,0
Lawrence of Arabia,1962-01-01,98,"Peter O'Toole, Alec Guinness, Omar Sharif, Anthony Quinn",David Lean,0,0.09168493292134601,0.49339573922454305,0,0,0,0,0,0,0,0,0,0
Tom Jones,1963-01-01,86,"Albert Finney, Susannah York, Hugh Griffith, Edith Evans",Tony Richardson,8,0.14432824002375702,0.5603982793781861,0,5,1,0,0,0,0,0,0,2
My Fair Lady,1964-01-01,95,"Rex Harrison, Audrey Hepburn, Stanley Holloway, Wilfrid Hyde-White",George Cukor,0,0.092831574555712,0.508190940106349,0,0,0,0,0,0,0,0,0,0
The Sound of Music,1965-01-01,83,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn",Robert Wise,0,0.14153450642304102,0.561303090045127,0,0,0,0,0,0,0,0,0,0
A Man for All Seasons,1966-01-01,83,"Paul Scofield, Wendy Hiller, Leo McKern, Robert Shaw",Fred Zinnemann,2,0.10932654466745301,0.555817156602729,0,1,1,0,0,0,0,0,0,0
In the Heat of the Night,1967-01-01,94,"Rod Steiger, Sidney Poitier, Warren Oates, Lee Grant",Norman Jewison,4,0.043457488647844,0.487656531990288,0,0,0,0,0,0,0,4,0,0
Oliver!,1968-01-01,82,"Ron Moody, Oliver Reed, Mark Lester, Shani Wallis",Carol Reed,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Midnight Cowboy,1969-01-01,90,"Dustin Hoffman, Jon Voight, John McGiver, Brenda Vaccaro",John Schlesinger,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Patton,1970-01-01,94,"George C. Scott, Karl Malden, Michael Bates, Edward Binns",Franklin J. Schaffner,15,0.087643448010794,0.45901004551004504,0,6,7,0,1,0,0,0,1,0
The French Connection,1971-01-01,98,"Gene Hackman, Fernando Rey, Roy Scheider, Marcel Bozzuffi",William Friedkin,13,0.123233079090221,0.495594069951212,0,0,1,0,1,0,4,1,6,0
The Godfather,1972-01-01,98,"Marlon Brando, Al Pacino, James Caan, Robert Duvall",Francis Ford Coppola,3,0.10315081406114,0.528898768803659,0,2,0,0,1,0,0,0,0,0
The Sting,1973-01-01,94,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning",George Roy Hill,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
"The Godfather, Part II",1974-01-01,97,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",Francis Ford Coppola,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
One Flew Over the Cuckoo's Nest,1975-01-01,93,"Jack Nicholson, Louise Fletcher, William Redfield, Will Sampson",Milos Forman,45,0.07146140029419501,0.5161520524888861,3,0,4,1,0,0,30,0,7,0
Rocky,1976-01-01,94,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",John G. Avildsen,5,0.10969987569847901,0.515972496621937,0,1,1,0,2,0,0,0,1,0
Annie Hall,1977-01-01,97,"Woody Allen, Diane Keaton, Tony Roberts, Paul Simon",Woody Allen,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
The Deer Hunter,1978-01-01,93,"Robert De Niro, Christopher Walken, John Cazale, John Savage",Michael Cimino,46,0.10262626202036601,0.552351673678092,1,2,1,0,0,0,37,0,5,0
Kramer vs. Kramer,1979-01-01,88,"Dustin Hoffman, Meryl Streep, Justin Henry, Jane Alexander",Robert Benton,2,0.09504038916410001,0.510961059272914,0,0,0,0,0,0,0,0,2,0
Ordinary People,1980-01-01,88,"Mary Tyler Moore, Timothy Hutton, Donald Sutherland, Judd Hirsch",Robert Redford,12,0.110998644367785,0.541641618472673,0,1,0,0,1,0,6,0,4,0
Chariots of Fire,1981-01-01,84,"Ben Cross, Ian Charleson, Nigel Havers, Ian Holm",Hugh Hudson,0,0.136163539664576,0.507709175333656,0,0,0,0,0,0,0,0,0,0
Gandhi,1982-01-01,85,"Ben Kingsley, Candice Bergen, Trevor Howard, John Mills",Richard Attenborough,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Terms of Endearment,1983-01-01,78,"Shirley MacLaine, Debra Winger, Jack Nicholson, Jeff Daniels",James L. Brooks,4,0.104162174296962,0.553164150782892,0,0,1,0,0,0,1,0,2,0
Amadeus,1984-01-01,93,"Tom Hulce, F. Murray Abraham, Elizabeth Berridge, Simon Callow",Milos Forman,2,0.13512168387168402,0.543546266233766,0,0,0,0,0,0,0,0,2,0
Out of Africa,1985-01-01,58,"Meryl Streep, Robert Redford, Klaus Maria Brandauer, Michael Kitchen",Sydney Pollack,0,0.096972460858119,0.505652175128919,0,0,0,0,0,0,0,0,0,0
Platoon,1986-01-01,88,"Charlie Sheen, Willem Dafoe, Tom Berenger, Forest Whitaker",Oliver Stone,146,-0.05581573422719201,0.5315414624919831,4,0,4,0,2,0,106,1,29,0
The Last Emperor,1987-01-01,90,"John Lone, Joan Chen, Peter O'Toole, Ying Ruocheng",Bernardo Bertolucci,0,0.10435060525893801,0.44685377585377606,0,0,0,0,0,0,0,0,0,0
